#CL_Utilization###
9-;9st stage 9st selection minus level;9 Auswahl oder Stufe MInuspegel
IC1;ignition circuit 1;Zuendkreis 1
IC10;ignition circuit 10;Zuendkreis 10
IC11;ignition circuit 11;Zuendkreis 11
IC12;ignition circuit 12;Zuendkreis 12
IC13;ignition circuit 13;Zuendkreis 13
IC14;ignition circuit 14;Zuendkreis 14
IC2;ignition circuit 2;Zuendkreis 2
IC3;ignition circuit 3;Zuendkreis 3
IC4;ignition circuit 4;Zuendkreis 4
IC5;ignition circuit 5;Zuendkreis 5
IC6;ignition circuit 6;Zuendkreis 6
IC7;ignition circuit 7;Zuendkreis 7
IC8;ignition circuit 8;Zuendkreis 8
IC9;ignition circuit 9;Zuendkreis 9
nVal;No Value;Keine Angabe
#CL_Functions###
+;positiv connection;Plus Anschluss;DC;H;OUT
12V_Socket;12V_Socket;12V_Steckdose;mixed;V;BI
15_Sig;15_Signal;15_Signal;mixed;S;BI
1PPS;1PPS_IN;1PPS_IN;mixed;S;IN
1PPS_GND;1PPS_Ground;1PPS;mixed;S;CRX
30SIG;Signal_Plus;Signal_High;DC;S;BI
31_POS_GND_Signal;31_Pos_GND_Signal;31_Pos_GND_Signal;mixed;S;CRX
31-SM;Sensor_ground;Sensormasse;mixed;M;BI
31-SM-Lighting;Sensorground_lightning;Sensormasse_Lichter;mixed;S;BI
31-SM-Switch;Sensorground_switch;Sensormasse_Schalter;mixed;S;BI
49_EN;Wischer Blinker Enable;Wischer Blinker Enable;mixed;S;IN
49H;turn indicator;Fahrtrichtungsanzeiger;mixed;S;IN
49H_1;Turn Indicator Right 1;Turn Indicator Rechts 1;mixed;S;BI
49H_2;Turn Indicator Left 2;Turn Indicator Links 2;mixed;S;BI
49_H2/54_2;Brake_Turn_light_left;Brems_FRA_Licht_links;mixed;S;BI
49_Signal;Dynamic Turn Indicator;Wischerblinker;mixed;S;BI
49W_EN;Wisherblinker Enable;Wischerblinker Enable;LIN;S;CRX
53;wiper_motor;Wischermotor;mixed;S;BI
53b;wiper_motor_shunting_filed;Wischermotor-Nebenschlussfeld;LVDS1G;D;BI
54_1;Stop Light Right 1;Bremslicht Rechts 1;mixed;S;BI
54_2;Stop Light Left 2;Bremslicht Links 2;mixed;S;BI
54_3;Stop_Light_High;Bremslicht_Hochgesetzt;mixed;S;BI
54_58H;stop light / tail light;Bremslicht / Schlusslicht;mixed;S;IN
55a;fog light;Nebelschlusslicht;mixed;S;IN
58_1_redundant;redundant position light Right 1;Redundant Position Light Rechts 1;mixed;S;BI
58_EN;CH/LH Enable;CH/LH Enable;DC;S;IN
58H;tail light;Schlusslicht;mixed;S;IN
58H_1;Position Light Right 1;Position Light Rechts 1;mixed;S;BI
